Course Name, Enrollment Term 
MUS4899, 25
BUS4899, 25
PHY4512, 25
SOC4899, 25
EDRD2000, 25
EDU2300, 25
CHM1212, 25
CHM2960, 25
BIO4880, 25
BUS3700, 25
UFDN3100, 25
ACCT4899, 25
ECN4899, 25
PHY1135, 25
SOC1110, 25
ART4899, 25
EDTC4236, 25
EDTC4237, 25
CHM1110, 25
CHM3228, 25
CHM3373, 25
UFDN3100, 25
UFDN3100, 25
UCOR2000, 25
UCOR3000, 25
PHI1001, 25
EDU6976, 25
FCS3720, 25
FRE2103, 25
UFDN2000, 25
UFDN3001, 25
MAT2720, 25
FCS3340, 25
FCS4367, 25
BIO2102, 25
PPHS1800, 25
ORG6001, 25
EDSP4899, 25
EDSP4653, 25
ART1180, 25
ART1205, 25
ART3605, 25
NUR4859, 25
ART4898, 25
USCH1114, 25
NUR6912, 25
ENG2215, 25
BIO3350, 25
BUS3950, 25
BIO4352, 25
MAT1235, 25
CSC3221, 25
EDU7912, 25
SOC3370, 25
PSY1200, 25
CHM3462, 25
BUS3950, 25
FCS3280, 25
BIO3899, 25
EDCO6676, 25
MUS2930, 25
EDRD6529, 25
CPY7280, 25
BIO2979, 25
FCS3825, 25
POL3320, 25
MAT2561, 25
MAT3562, 25
MAT3238, 25
THEO6080, 25
THEO6090, 25
EDAD6585, 25
EDU6525, 25
PHI3651, 25
THEO6940, 25
EDU6085, 25
TRE1810, 25
TRE3800, 25
USCH4910, 25
TESL6581, 25
FCS4846, 25
FCS3730, 25
FCS4744, 25
FCS2385, 25
MAT0145, 25
MAT1236, 25
ART3200, 25
ART4209, 25
BUS6271, 25
THEO6930, 25
EDU7930, 25
MUS1600, 25
EDCO6672, 25
EDRD3516, 25
COM2323, 25
ART1102, 25
CPY7101, 25
CPY7200, 25
FCS2375, 25
EGR3400, 25
EGR3502, 25
EDU6120, 25
HIS3785, 25
UCOR2000, 25
MUS4802, 25
THEO2720, 25
THEO2735, 25
UFDN3100, 25
EDU6150, 25
SOC1110, 25
MAT2401, 25
FCS4932, 25
MFT6655, 25
PSY3360, 25
ECN2102, 25
THEO3500, 25
UFDN3100, 25
BIO3898, 25
ART3201, 25
CHM1360, 25
CHM3422, 25
ENG3150, 25
MUS4501, 25
BIO4978, 25
BIO4979, 25
FCS1050, 25
BUS2000, 25
MAT2360, 25
MAT2360, 25
CSC1230, 25
THEO3510, 25
SOC3862, 25
ENG3334, 25
BIO3320, 25
BIO3320L, 25
BIO3351L, 25
BIO3351L, 25
BIO3351L, 25
BIO3351L, 25
BIO3351L, 25
BIO3615, 25
CHM1360, 25
FCS1840, 25
FCS4370, 25
LIN2100, 25
ART3204, 25
COM1321, 25
BIO1101, 25
BIO4840, 25
BIO3434, 25
NUR6958, 25
EDU6139, 25
ART2112, 25
ART2603, 25
THEO2721, 25
THEO4730, 25
UFDN2000, 25
BIO2571, 25
NUR6899, 25
EGR1503, 25
ENG3000, 25
EDU6150, 25
EDRD6530, 25
FCS2890, 25
UCOR2000, 25
PSY2422, 25
PSY3438, 25
PSY4101, 25
PSY4470, 25
POL1110, 25
CHN1103, 25
CHN2103, 25
MUS3612, 25
MUS2605, 25
MUS1260, 25
NUR4848, 25
BIO3351L, 25
FCS4470, 25
BUS2000, 25
BUS3541, 25
CHM4950, 24
EDRD6533, 24
BUS6201, 24
CHM1330, 24
BUS4644, 24
BUS6132, 24
JRN3931, 24
GS2001, 24
MFT6303, 24
PSY4488, 24
CPY7210, 24
FCS3870, 24
MFT6410, 24
BIO4330, 24
UCOR2000, 24
UCOR2000, 24
PHI2001, 24
BUS6250, 24
BUS3251, 24
JRN2802, 24
MFT6600, 24
THEO4733, 24
USCH1111, 24
NUR3954, 24
NUR3955, 24
EDU7990, 24
MFT6301, 24
MAT1521, 24
PHI3602, 24
USCH1113, 24
UCOR2000, 24
FCS3240, 24
MFT6938, 24
MFT6700, 24
CPY7032, 24
FCS2204, 24
FCS4712, 24
SOC4702, 24
COM3160, 24
PHI4652, 24
UFDN3100, 24
PHY3312, 24
EDSP6644, 24
GS3001, 24
BUS3828, 24
COM1101, 24
THEO4899, 24
ART1205, 24
COM1321, 24
BUS3620, 24
ECN2102, 24
PSY4899, 24
ENG3180, 24
ACCT2362, 24
PHY4513, 24
EDRD2000, 24
CHM1212, 24
ART3546, 24
CHM1211, 24
EDSP4642, 24
EDU6085, 24
BUS2414, 24
BUS3700, 24
ACCT3370, 24
UCOR2000, 24
FCS4730, 24
ORG6300, 24
ORG6610, 24
ORG7300, 24
CHM3372, 24
NUR4000, 24
NUR4002, 24
NUR4010, 24
NUR4012, 24
EDU6120, 24
MFT6934, 24
FCS3712, 24
SOC1110, 24
SOC3371, 24
COM1321, 24
BIO2103, 24
ORG6010, 24
EDSP4648, 24
FCS4899, 24
BUS3250, 24
BUS3541, 24
BUS6202, 24
NUR6911, 24
ART2603, 24
ART3205, 24
CPY7147, 24
POL4643, 24
MFT6402, 24
FCS3822, 24
BUS3950, 24
CPY7929, 24
ART1102, 24
ORG7001, 24
PHI4898, 24
COM4899, 24
MAT1234, 24
FCS3365, 24
CHM3461, 24
GS1001, 24
EGR3612, 24
ENG3301, 24
SOC1110, 24
MUS2561, 24
EDU6526, 24
UCOR2000, 24
HIS2503, 24
ART2201, 24
BUS3614, 24
BUS3682, 24
MAT3360, 24
MAT1560, 24
CSC1230, 24
CSC2430, 24
ACCT3352, 24
EDCO6930, 24
EDCO6940, 24
BUS6300, 24
ART4920, 24
ENG2252, 24
MUS1260, 24
MUS4217, 24
FRE2102, 24
SPN1102, 24
SPN2102, 24
BIO4362, 24
MUS2312, 24
EDTC6431, 24
EDU6136, 24
EDU6525, 24
LIN4410, 24
ART2422, 24
EDU6133, 24
EDTC6500, 24
EDU6172, 24
EDU6136, 24
BIO4899, 24
EDU3361, 24
MUS2306, 24
MUS2310, 24
BIO2101, 24
SOC2620, 24
BIO2130, 24
THEO1202, 24
BUS2500, 24
NUR6940, 24
MUS2402, 24
